Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (13041406),Christian McCaffrey,13041406,RB/FLEX,8800,LAR@CAR 09/08/2019 01:00PM ET,CAR,22.8053545591781
RB,Saquon Barkley (13041692),Saquon Barkley,13041692,RB/FLEX,9000,NYG@DAL 09/08/2019 04:25PM ET,NYG,22.6591929753719
QB,Patrick Mahomes (13041545),Patrick Mahomes,13041545,QB,7200,KC@JAX 09/08/2019 01:00PM ET,KC,20.9569564439979
WR,Julio Jones (13040679),Julio Jones,13040679,WR/FLEX,8000,ATL@MIN 09/08/2019 01:00PM ET,ATL,19.2887686889355
QB,Russell Wilson (13040661),Russell Wilson,13040661,QB,6300,CIN@SEA 09/08/2019 04:05PM ET,SEA,19.0845624043712
WR,Mike Evans (13040877),Mike Evans,13040877,WR/FLEX,7900,SF@TB 09/08/2019 04:25PM ET,TB,18.950970627892
WR,Odell Beckham Jr. (13040853),Odell Beckham Jr.,13040853,WR/FLEX,8100,TEN@CLE 09/08/2019 01:00PM ET,CLE,18.8986361565735
QB,Lamar Jackson (13041638),Lamar Jackson,13041638,QB,6000,BAL@MIA 09/08/2019 01:00PM ET,BAL,18.7926934137575
QB,Dak Prescott (13040864),Dak Prescott,13040864,QB,5900,NYG@DAL 09/08/2019 04:25PM ET,DAL,18.6478968197789
RB,Dalvin Cook (13041387),Dalvin Cook,13041387,RB/FLEX,6000,ATL@MIN 09/08/2019 01:00PM ET,MIN,18.6452407876575
QB,Carson Wentz (13040977),Carson Wentz,13040977,QB,5700,WAS@PHI 09/08/2019 01:00PM ET,PHI,18.3675600111577
QB,Jameis Winston (13041027),Jameis Winston,13041027,QB,6600,SF@TB 09/08/2019 04:25PM ET,TB,18.2506085073578
QB,Cam Newton (13040638),Cam Newton,13040638,QB,6500,LAR@CAR 09/08/2019 01:00PM ET,CAR,18.2345229693843
WR,Keenan Allen (13040827),Keenan Allen,13040827,WR/FLEX,7300,IND@LAC 09/08/2019 04:05PM ET,LAC,18.1144328957265
RB,Ezekiel Elliott (13041144),Ezekiel Elliott,13041144,RB/FLEX,9200,NYG@DAL 09/08/2019 04:25PM ET,DAL,18.0840202547308
WR,Tyreek Hill (13041379),Tyreek Hill,13041379,WR/FLEX,7600,KC@JAX 09/08/2019 01:00PM ET,KC,18.0709554846851
RB,David Johnson (13040796),David Johnson,13040796,RB/FLEX,7700,DET@ARI 09/08/2019 04:25PM ET,ARI,18.0426140347713
RB,Leonard Fournette (13041354),Leonard Fournette,13041354,RB/FLEX,6100,KC@JAX 09/08/2019 01:00PM ET,JAX,18.0350289218426
QB,Jared Goff (13041127),Jared Goff,13041127,QB,6200,LAR@CAR 09/08/2019 01:00PM ET,LAR,17.992484100266
RB,Le'Veon Bell (13040785),Le'Veon Bell,13040785,RB/FLEX,7100,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,17.8539101083246
RB,Nick Chubb (13041370),Nick Chubb,13041370,RB/FLEX,6400,TEN@CLE 09/08/2019 01:00PM ET,CLE,17.8343481813232
WR,Adam Thielen (13041159),Adam Thielen,13041159,WR/FLEX,6800,ATL@MIN 09/08/2019 01:00PM ET,MIN,17.7487351263865
WR,Tyler Lockett (13040917),Tyler Lockett,13040917,WR/FLEX,6000,CIN@SEA 09/08/2019 04:05PM ET,SEA,17.4539086488298
QB,Baker Mayfield (13041254),Baker Mayfield,13041254,QB,6400,TEN@CLE 09/08/2019 01:00PM ET,CLE,17.4315537811754
RB,Chris Carson (13041688),Chris Carson,13041688,RB/FLEX,5700,CIN@SEA 09/08/2019 04:05PM ET,SEA,17.1914318722737
RB,Kerryon Johnson (13041675),Kerryon Johnson,13041675,RB/FLEX,5800,DET@ARI 09/08/2019 04:25PM ET,DET,17.1546507662134
RB,Ty Johnson (13041641),Ty Johnson,13041641,RB/FLEX,3000,DET@ARI 09/08/2019 04:25PM ET,DET,2.58729330875829
QB,Philip Rivers (13040611),Philip Rivers,13040611,QB,5900,IND@LAC 09/08/2019 04:05PM ET,LAC,17.074845628745
QB,Matt Ryan (13040600),Matt Ryan,13040600,QB,6100,ATL@MIN 09/08/2019 01:00PM ET,ATL,16.9908225847144
TE,Travis Kelce (13040674),Travis Kelce,13040674,TE/FLEX,7100,KC@JAX 09/08/2019 01:00PM ET,KC,16.857728559252
QB,Kirk Cousins (13040669),Kirk Cousins,13040669,QB,5500,ATL@MIN 09/08/2019 01:00PM ET,MIN,16.8080020757288
RB,Joe Mixon (13041335),Joe Mixon,13041335,RB/FLEX,6700,CIN@SEA 09/08/2019 04:05PM ET,CIN,16.7163598612842
RB,Todd Gurley II (13041058),Todd Gurley II,13041058,RB/FLEX,7900,LAR@CAR 09/08/2019 01:00PM ET,LAR,16.6342010865281
WR,Amari Cooper (13040983),Amari Cooper,13040983,WR/FLEX,7000,NYG@DAL 09/08/2019 04:25PM ET,DAL,16.4945087924671
QB,Kyler Murray (13041661),Kyler Murray,13041661,QB,5600,DET@ARI 09/08/2019 04:25PM ET,ARI,16.2171508642391
WR,Tyler Boyd (13041198),Tyler Boyd,13041198,WR/FLEX,5800,CIN@SEA 09/08/2019 04:05PM ET,CIN,16.1786331678446
RB,Austin Ekeler (13041314),Austin Ekeler,13041314,RB/FLEX,5500,IND@LAC 09/08/2019 04:05PM ET,LAC,16.1003423884333
QB,Jimmy Garoppolo (13040818),Jimmy Garoppolo,13040818,QB,5800,SF@TB 09/08/2019 04:25PM ET,SF,16.0918343307532
TE,Zach Ertz (13040739),Zach Ertz,13040739,TE/FLEX,6100,WAS@PHI 09/08/2019 01:00PM ET,PHI,16.02590093625
WR,Brandin Cooks (13040951),Brandin Cooks,13040951,WR/FLEX,6500,LAR@CAR 09/08/2019 01:00PM ET,LAR,16.000084626489
