Player,Team,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FPTS
Jets ,,2.7,1.1,0.6,0,0.2,0.1,18.9,332.3,8.3
Ravens ,,2.4,1.1,0.5,0,0.2,0.1,15.3,323.5,7.9
Saints ,,3.6,0.8,0.6,0,0.2,0,22.8,354.1,7.6
Seahawks ,,2.4,0.9,0.5,0,0.2,0.1,17.3,335.6,7.5
Cowboys ,,2.8,0.8,0.5,0,0.2,0.1,19.1,333.8,7.5
Chargers ,,2.6,0.8,0.6,0,0.2,0.1,19.3,320.7,7.3
Buccaneers ,,3,0.9,0.6,0,0.2,0,25.5,377.2,7
49ers ,,2.6,1.1,0.6,0,0.2,0,25,368.4,7
Eagles ,,2.2,0.8,0.5,0,0.2,0.1,18,328,6.9
Lions ,,2.6,1,0.6,0,0.2,0,22.2,344.9,6.9
Broncos ,,3,0.7,0.7,0,0.2,0,21.3,348.3,6.6
Rams ,,2.3,1,0.6,0,0.2,0,23.7,353.8,6.5
Bills ,,2.3,0.9,0.6,0,0.2,0,21.9,323.8,6.5
Vikings ,,2.8,0.7,0.6,0,0.1,0,21.9,338.2,6.4
Bears ,,3.2,0.5,0.5,0,0.2,0,21.7,344.2,6.3
Browns ,,2.8,0.7,0.6,0,0.1,0,20.1,324.7,6.2
Giants ,,2.9,0.6,0.6,0,0.1,0,26.1,355.9,6.1
Bengals ,,2.8,0.6,0.6,0,0.1,0,27,365.6,6
Dolphins ,,2.2,0.8,0.6,0,0.1,0,22.3,376,6
Cardinals ,,2.6,0.7,0.5,0,0.1,0,24.7,340.4,5.9
Redskins ,,2.6,0.7,0.6,0,0.1,0,27.5,371.8,5.9
Patriots ,,1.9,1,0.6,0,0.1,0,22.5,374.9,5.8
Chiefs ,,2.4,0.7,0.6,0,0.1,0,24.2,334.2,5.8
Packers ,,2.1,0.8,0.6,0,0.1,0,24.9,372,5.8
Titans ,,2.2,0.8,0.5,0,0.1,0,25.4,368.2,5.7
Falcons ,,2.3,0.7,0.6,0,0.1,0,25.9,357.8,5.7
Jaguars ,,2.1,0.8,0.6,0,0.1,0,27.7,372.1,5.6
Colts ,,2.2,0.7,0.6,0,0.1,0,25.8,370,5.5
Panthers ,,2.2,0.7,0.5,0,0.1,0,26.2,386.9,5.5
Raiders ,,1.9,0.8,0.5,0,0.1,0,22.3,365.1,5.3
Steelers ,,1.8,0.6,0.5,0,0.1,0,28,367.3,4.8
Texans ,,1.8,0.6,0.5,0,0.1,0,29.8,375.9,4.7
