Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Christian McCaffrey,CAR,15.8,74.9,0.6,6.6,50.4,0.3,0.2,23.7
Alvin Kamara,NO,13.3,58.3,0.7,5.9,49.2,0.6,0.2,23.6
Saquon Barkley,NYG,17.5,77.9,0.7,6,44.6,0.1,0.2,22.7
Ezekiel Elliott,DAL,19.2,88.7,0.7,3.6,27.8,0.1,0.2,20.1
Dalvin Cook,MIN,17.5,82.2,0.7,3.8,29.9,0.1,0.1,19.6
Leonard Fournette,JAC,18.3,76.9,0.7,3.6,31,0.1,0.1,19
David Johnson,ARI,15.8,64.3,0.6,4.4,36.7,0.2,0.1,18.9
Nick Chubb,CLE,20.1,93.2,0.7,2.4,20,0.1,0.1,18.7
Chris Carson,SEA,19.3,90.5,0.7,3,21.9,0.1,0.2,18.5
Kerryon Johnson,DET,16.3,77,0.7,3.7,27.1,0.1,0.1,18.5
Le'Veon Bell,NYJ,17.9,77.8,0.7,3.5,26.5,0.1,0.2,18
James Conner,PIT,15.5,67.8,0.6,4.1,32.1,0.1,0.1,17.9
Austin Ekeler,LAC,13.6,57.6,0.6,4.2,35.8,0.2,0.1,17.9
Todd Gurley,LAR,14.6,66.4,0.7,2.9,24.7,0.1,0.1,16.6
Joe Mixon,CIN,16.2,71.9,0.5,3.2,26.7,0.1,0.1,16.5
Josh Jacobs,OAK,16,67.3,0.6,2.9,20.9,0.1,0.1,15.5
Phillip Lindsay,DEN,13,63.9,0.6,2.6,22.7,0.1,0.1,15.1
Devonta Freeman,ATL,14.1,59.9,0.6,3,23.1,0.1,0.1,15
Derrick Henry,TEN,18.8,79.3,0.8,1,9.6,0,0,14.7
Mark Ingram,BAL,16,72.1,0.6,1.9,15.4,0.1,0.1,14.5
Damien Williams,KC,11,48.6,0.5,3,26,0.1,0.1,14.4
Aaron Jones,GB,12.9,59.9,0.5,2.6,20.2,0.1,0.1,13.9
Sony Michel,NE,18.2,77,0.7,1.2,9.8,0,0.1,13.9
David Montgomery,CHI,15.5,65.2,0.6,1.7,14.8,0,0.1,13.3
Marlon Mack,IND,15.8,68.4,0.6,1.6,11.9,0,0.1,13.3
Matt Breida,SF,12.5,57.7,0.5,2.1,17.6,0.1,0.1,13
Duke Johnson,HOU,10.4,40.9,0.1,4,34.7,0.1,0.1,12.8
James White,NE,4.4,18.8,0.1,4.7,39.5,0.2,0.1,12.1
Tevin Coleman,SF,11.1,48.3,0.2,3.1,21.9,0.1,0.1,11.9
Tarik Cohen,CHI,4.1,18,0.1,4.2,38.7,0.2,0.1,11.2
