Player,Team,REC,YDS,TDS,FL,FPTS
Travis Kelce,KC,5.6,73.7,0.8,0.1,17.2
George Kittle,SF,5.4,70.2,0.6,0,16.1
Zach Ertz,PHI,5.9,55,0.6,0.1,14.7
Evan Engram,NYG,4.7,56.3,0.5,0,13.4
Vance McDonald,PIT,4.8,47.2,0.6,0,12.9
O.J. Howard,TB,4.1,52,0.6,0,12.8
Jared Cook,NO,3.4,39.3,0.6,0,10.8
David Njoku,CLE,3.6,40.1,0.5,0,10.6
Hunter Henry,LAC,4.2,49.6,0.2,0,10.5
Delanie Walker,TEN,3.6,34.6,0.4,0,9.6
Mark Andrews,BAL,3.2,35.9,0.4,0,9.4
Eric Ebron,IND,3.2,31.5,0.5,0,9.2
Jordan Reed,WAS,3.1,31.5,0.4,0,8.8
Darren Waller,OAK,2.8,29.4,0.4,0,8.3
Will Dissly,SEA,2.1,30.1,0.5,0,8.2
Austin Hooper,ATL,3.3,32.1,0.1,0,7.4
Jimmy Graham,GB,3,32.9,0.1,0,7
Tyler Eifert,CIN,2.9,34,0.1,0,6.9
Greg Olsen,CAR,2.8,30.6,0.2,0,6.9
Kyle Rudolph,MIN,2.9,28.2,0.2,0,6.7
T.J. Hockenson,DET,2.7,25.7,0.1,0,6
Trey Burton,CHI,2.4,24.3,0.2,0,5.9
Jack Doyle,IND,2.8,25.2,0.1,0,5.8
Noah Fant,DEN,2.2,26.9,0.1,0,5.7
Jason Witten,DAL,2.6,25.2,0.1,0,5.7
Dallas Goedert,PHI,2.1,20.7,0.2,0,5.6
Geoff Swaim,JAC,2.5,22.8,0.1,0,5.5
Mike Gesicki,MIA,2.2,26.2,0,0,5.1
Gerald Everett,LAR,2,22.5,0.1,0,5
Vernon Davis,WAS,1.9,26.3,0.1,0,4.9
Charles Clay,ARI,2.2,21.3,0.1,0,4.9
Zach Gentry,PIT,1.7,18,0.2,0,4.7
Matt LaCosse,NE,2,19.5,0.1,0,4.5
Blake Jarwin,DAL,1.7,16.9,0.2,0,4.3
Cameron Brate,TB,1.8,16,0.1,0,4.1
Foster Moreau,OAK,1.7,18,0.1,0,4.1
Josh Oliver,JAC,1.7,17,0.1,0,4
Drew Sample,CIN,1.5,18,0.1,0,3.9
Jeff Heuerman,DEN,1.5,14.4,0.1,0,3.8
Nick Vannett,SEA,1.5,13.2,0.2,0,3.8
Ryan Griffin,NYJ,1.5,18,0,0,3.5
Tyler Higbee,LAR,1.2,14,0.1,0,3.5
Dawson Knox,BUF,1.2,15,0.1,0,3.3
Jonnu Smith,TEN,1.3,15,0.1,0,3.3
Irv Smith Jr.,MIN,1.4,13.9,0.1,0,3.2
Jesse James,DET,1.3,13.5,0.1,0,3.2
Hayden Hurst,BAL,1.4,14.2,0.1,0,3.2
Jace Sternberger,GB,1.2,12,0.1,0,3
Jordan Akins,HOU,1.1,15.4,0.1,0,3
Ian Thomas,CAR,1.3,12.8,0.1,0,2.9
Tyler Kroft,BUF,1.1,12.5,0.1,0,2.9
Darren Fells,HOU,1.1,12.4,0.1,0,2.9
Adam Shaheen,CHI,1.1,14.3,0.1,0,2.9
Nick O'Leary,MIA,1,11.9,0.1,0,2.6
James O'Shaughnessy,JAC,1.3,12.1,0,0,2.6
Maxx Williams,ARI,1.1,10,0.1,0,2.5
Eric Saubert,OAK,1,9.5,0.1,0,2.5
Trevon Wesco,NYJ,0.9,10,0.1,0,2.5
C.J. Uzomah,CIN,1,11.3,0,0,2.3
Derek Carrier,OAK,0.8,8.2,0.1,0,2.1
Jake Butt,DEN,0.8,10,0,0,2.1
Rhett Ellison,NYG,1,8.5,0,0,1.9
Josh Hill,NO,0.7,7.7,0.1,0,1.9
Nick Boyle,BAL,0.9,8.6,0,0,1.9
Ricky Seals-Jones,CLE,0.8,8.8,0,0,1.9
Eric Tomlinson,NYG,0.7,7.7,0.1,0,1.8
Virgil Green,LAC,0.7,7.2,0,0,1.6
Blake Bell,KC,0.8,7.4,0,0,1.6
Jordan Leggett,TB,0.7,6.4,0.1,0,1.6
Luke Stocker,ATL,0.6,5.5,0.1,0,1.5
Lee Smith,BUF,0.6,5,0.1,0,1.4
Xavier Grimble,PIT,0.6,7,0,0,1.4
Jeremy Sprinkle,WAS,0.5,5,0.1,0,1.3
Jaeden Graham,ATL,0.6,7,0,0,1.3
Mo Alie-Cox,IND,0.5,6.4,0,0,1.2
Seth DeValve,JAC,0.5,5.3,0,0,1.2
Durham Smythe,MIA,0.5,5.8,0,0,1.1
Demetrius Harris,CLE,0.3,3.9,0.1,0,1.1
Dalton Schultz,DAL,0.5,4.1,0,0,0.9
Marcedes Lewis,GB,0.4,4.2,0,0,0.9
Chris Manhertz,CAR,0.4,3.8,0,0,0.8
MyCole Pruitt,TEN,0.4,3.7,0,0,0.8
Jerell Adams,HOU,0.4,3.8,0,0,0.8
Darrell Daniels,ARI,0.3,3.4,0,0,0.8
Robert Tonyan,GB,0.3,3.5,0,0,0.8
Antony Auclair,TB,0.4,3.1,0,0,0.7
Anthony Firkser,TEN,0.3,3.2,0,0,0.7
Logan Paulsen,HOU,0.3,2.9,0,0,0.7
Joshua Perkins,PHI,0.2,2.7,0,0,0.6
Kaden Smith,SF,0.3,3,0,0,0.6
Tommy Sweeney,BUF,0.3,3,0,0,0.6
Ross Dwelley,SF,0.3,2.7,0,0,0.6
Tyler Conklin,NE,0.2,2.6,0,0,0.6
Daniel Brown,NYJ,0.2,2.5,0,0,0.5
Cethan Carter,CIN,0.2,2.4,0,0,0.5
Ben Braunecker,CHI,0.2,2.5,0,0,0.5
Ryan Izzo,MIN,0.2,3,0,0,0.5
Logan Thomas,DET,0.3,1.9,0,0,0.5
Sean Culkin,LAC,0.2,2,0,0,0.5
Levine Toilolo,SF,0.2,1.9,0,0,0.4
Troy Fumagalli,DEN,0.2,2,0,0,0.4
Tanner Hudson,TB,0.2,2,0,0,0.4
Jordan Franks,CIN,0.1,1.6,0,0,0.4
Andrew Beck,DEN,0.1,2,0,0,0.3
Garrett Dickerson,NYG,0.1,1,0,0,0.2
Brandon Dillon,MIN,0.1,1,0,0,0.2
Pharaoh Brown,CLE,0.1,1,0,0,0.2
Hale Hentges,IND,0.1,1,0,0,0.2
