"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"DeAndre Hopkins","HOU","7.5","93.8","0.7","0.0","0.0","0.0","0.1","13.5"
"Julio Jones","ATL","7.3","96.4","0.6","0.1","0.7","0.0","0.1","13.1"
"Davante Adams","GB","7.1","86.7","0.7","0.0","0.0","0.0","0.1","12.7"
"Odell Beckham Jr.","CLE","6.5","83.3","0.7","0.3","2.4","0.0","0.1","12.7"
"JuJu Smith-Schuster","PIT","7.0","88.0","0.7","0.1","0.6","0.0","0.1","12.7"
"Michael Thomas","NO","7.4","81.3","0.7","0.0","0.0","0.0","0.1","12.3"
"Mike Evans","TB","6.0","85.5","0.6","0.0","0.0","0.0","0.1","12.2"
"Antonio Brown","OAK","6.0","79.0","0.7","0.2","1.0","0.0","0.1","12.0"
"Tyreek Hill","KC","5.0","73.8","0.7","0.7","3.7","0.0","0.0","11.7"
"Tyler Lockett","SEA","5.4","69.7","0.7","0.6","4.3","0.0","0.0","11.5"
"Adam Thielen","MIN","5.7","71.7","0.7","0.4","2.2","0.0","0.1","11.1"
"Tyler Boyd","CIN","6.0","77.1","0.6","0.1","0.5","0.0","0.1","10.9"
"Amari Cooper","DAL","5.1","71.2","0.6","0.2","1.1","0.0","0.0","10.9"
"Brandin Cooks","LAR","5.0","71.5","0.5","0.5","3.7","0.0","0.0","10.8"
"Keenan Allen","LAC","6.2","72.1","0.6","0.3","2.3","0.0","0.1","10.8"
"Julian Edelman","NE","5.8","66.9","0.6","0.5","4.0","0.0","0.1","10.7"
"Stefon Diggs","MIN","5.4","61.5","0.7","0.5","3.8","0.0","0.1","10.5"
"D.J. Moore","CAR","5.2","64.7","0.5","1.0","8.3","0.0","0.1","10.2"
"Kenny Golladay","DET","4.9","67.4","0.6","0.1","0.5","0.0","0.0","10.2"
"Dede Westbrook","JAC","5.8","64.8","0.6","0.4","3.1","0.0","0.1","10.1"
"Cooper Kupp","LAR","4.1","56.1","0.6","0.4","2.4","0.0","0.0","9.3"
"Allen Robinson","CHI","4.1","57.3","0.6","0.0","0.1","0.0","0.0","9.2"
"Josh Gordon","NE","3.9","59.8","0.5","0.0","0.0","0.0","0.0","9.1"
"Mike Williams","LAC","3.6","51.0","0.6","0.4","2.4","0.0","0.0","9.1"
"Alshon Jeffery","PHI","4.4","51.4","0.6","0.0","0.0","0.0","0.0","8.7"
"Robby Anderson","NYJ","3.8","51.6","0.6","0.2","1.4","0.0","0.0","8.7"
"Robert Woods","LAR","4.8","67.0","0.2","0.7","5.4","0.0","0.0","8.7"
"Curtis Samuel","CAR","4.2","47.1","0.6","0.5","3.4","0.0","0.0","8.6"
"Chris Godwin","TB","5.5","68.1","0.3","0.0","0.0","0.0","0.0","8.3"
"Marvin Jones","DET","3.9","49.3","0.6","0.0","0.0","0.0","0.0","8.3"
"Courtland Sutton","DEN","3.6","52.4","0.5","0.0","0.1","0.0","0.0","8.2"
"Sammy Watkins","KC","3.8","58.5","0.3","0.3","2.0","0.0","0.0","7.7"
"Michael Gallup","DAL","3.3","46.7","0.5","0.0","0.0","0.0","0.0","7.4"
"T.Y. Hilton","IND","4.3","64.6","0.2","0.0","0.1","0.0","0.0","7.4"
"Sterling Shepard","NYG","4.6","61.7","0.2","0.2","1.3","0.0","0.0","7.3"
"Dante Pettis","SF","4.5","55.2","0.3","0.1","0.7","0.0","0.0","7.2"
"Christian Kirk","ARI","4.1","56.9","0.2","0.2","1.3","0.0","0.0","7.1"
"Corey Davis","TEN","4.6","58.8","0.2","0.3","1.9","0.0","0.0","7.0"
"Will Fuller","HOU","3.4","56.6","0.2","0.2","0.5","0.0","0.0","6.9"
"Calvin Ridley","ATL","3.9","51.5","0.3","0.3","1.6","0.0","0.0","6.9"
"Jarvis Landry","CLE","4.2","53.5","0.2","0.2","1.3","0.0","0.0","6.7"
"Emmanuel Sanders","DEN","4.2","52.0","0.2","0.3","1.8","0.0","0.0","6.5"
"Larry Fitzgerald","ARI","4.5","50.9","0.2","0.1","0.5","0.0","0.0","6.5"
"Albert Wilson","MIA","3.7","51.8","0.1","0.6","3.7","0.0","0.0","6.3"
"Geronimo Allison","GB","3.5","49.6","0.2","0.1","0.5","0.0","0.0","6.3"
"Donte Moncrief","PIT","4.1","52.6","0.2","0.0","0.0","0.0","0.0","6.3"
"DeSean Jackson","PHI","3.0","46.5","0.2","0.2","1.5","0.0","0.0","5.9"
"Ted Ginn","NO","3.6","45.0","0.2","0.3","2.0","0.0","0.0","5.8"
"John Brown","BUF","3.1","47.6","0.1","0.2","1.1","0.0","0.0","5.7"
"Jamison Crowder","NYJ","3.5","44.1","0.2","0.1","0.8","0.0","0.0","5.6"
"Devante Parker","MIA","3.6","49.4","0.1","0.0","0.0","0.0","0.0","5.4"
"Mohamed Sanu","ATL","3.3","43.7","0.1","0.3","1.6","0.0","0.0","5.4"
"Marquise Goodwin","SF","2.8","38.4","0.2","0.2","1.1","0.0","0.0","5.1"
"Marquez Valdes-Scantling","GB","2.8","41.2","0.1","0.1","0.7","0.0","0.0","4.9"
"Taylor Gabriel","CHI","3.2","35.6","0.1","0.6","4.0","0.0","0.0","4.8"
"Anthony Miller","CHI","2.5","36.3","0.2","0.3","2.1","0.0","0.0","4.8"
"John Ross","CIN","3.0","36.4","0.2","0.2","1.5","0.0","0.0","4.8"
"Paul Richardson","WAS","3.3","39.2","0.1","0.1","0.7","0.0","0.0","4.8"
"Tyrell Williams","OAK","3.1","38.4","0.1","0.2","1.7","0.0","0.0","4.8"
"Zay Jones","BUF","3.2","37.4","0.1","0.2","2.0","0.0","0.0","4.8"
"Willie Snead","BAL","3.3","38.8","0.1","0.1","1.0","0.0","0.0","4.6"
"Breshad Perriman","TB","2.6","35.7","0.1","0.3","2.1","0.0","0.0","4.6"
