QB,WR1,WR2,WR3,RB1,RB2,TE,FLEX,DST,Budget,FPPG
Lamar Jackson(13245149),Davante Adams(13245731),Dede Westbrook(13245797),JuJu Smith-Schuster(13245735),Leonard Fournette(13245285),Dalvin Cook(13245287),Vance McDonald(13246453),Chris Carson(13245295),Buccaneers (13246880),50000.0,152.5
Lamar Jackson(13245149),Davante Adams(13245731),Dede Westbrook(13245797),JuJu Smith-Schuster(13245735),Leonard Fournette(13245285),Dalvin Cook(13245287),Vance McDonald(13246453),Chris Carson(13245295),49ers (13246879),50000.0,152.5
Patrick Mahomes(13245138),Davante Adams(13245731),Dede Westbrook(13245797),Tyler Boyd(13245765),Dalvin Cook(13245287),Chris Carson(13245295),Vance McDonald(13246453),Austin Ekeler(13245299),Jets (13246863),49800.0,152.3
Patrick Mahomes(13245138),Davante Adams(13245731),Dede Westbrook(13245797),Tyler Boyd(13245765),Dalvin Cook(13245287),Kerryon Johnson(13245293),Vance McDonald(13246453),Austin Ekeler(13245299),Jets (13246863),49900.0,152.3
Patrick Mahomes(13245138),Davante Adams(13245731),Dede Westbrook(13245797),Tyler Lockett(13245761),Dalvin Cook(13245287),Chris Carson(13245295),Vance McDonald(13246453),Austin Ekeler(13245299),Jets (13246863),50000.0,152.3
Patrick Mahomes(13245138),Davante Adams(13245731),Dede Westbrook(13245797),Tyler Boyd(13245765),Leonard Fournette(13245285),Dalvin Cook(13245287),Vance McDonald(13246453),Chris Carson(13245295),49ers (13246879),49500.0,152.1
Patrick Mahomes(13245138),Davante Adams(13245731),Dede Westbrook(13245797),Tyler Boyd(13245765),Leonard Fournette(13245285),Dalvin Cook(13245287),Vance McDonald(13246453),Chris Carson(13245295),Buccaneers (13246880),49500.0,152.1
Patrick Mahomes(13245138),Davante Adams(13245731),Dede Westbrook(13245797),Tyler Boyd(13245765),Leonard Fournette(13245285),Dalvin Cook(13245287),Vance McDonald(13246453),Kerryon Johnson(13245293),Buccaneers (13246880),49600.0,152.1
Patrick Mahomes(13245138),Davante Adams(13245731),Dede Westbrook(13245797),Tyler Boyd(13245765),Leonard Fournette(13245285),Dalvin Cook(13245287),Vance McDonald(13246453),Kerryon Johnson(13245293),49ers (13246879),49600.0,152.1
Patrick Mahomes(13245138),Davante Adams(13245731),Dede Westbrook(13245797),Tyler Lockett(13245761),Leonard Fournette(13245285),Dalvin Cook(13245287),Vance McDonald(13246453),Chris Carson(13245295),49ers (13246879),49700.0,152.1
