QB,WR1,WR2,WR3,RB1,RB2,TE,FLEX,DST,Budget,FPPG
Ryan Fitzpatrick(13245168),Will Fuller(13245795),Antonio Brown(13245737),Adam Thielen(13245747),James Conner(13245275),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Bears (13246854),50000.0,178.4
Ryan Fitzpatrick(13245168),Davante Adams(13245731),Antonio Brown(13245737),Albert Wilson(13245863),James Conner(13245275),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Bears (13246854),49900.0,178.19
Ryan Fitzpatrick(13245168),Davante Adams(13245731),Will Fuller(13245795),Antonio Brown(13245737),James Conner(13245275),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Texans (13246875),49700.0,177.88
Ryan Fitzpatrick(13245168),Davante Adams(13245731),Antonio Brown(13245737),Keke Coutee(13245855),James Conner(13245275),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Bears (13246854),50000.0,177.75
Ryan Fitzpatrick(13245168),Antonio Brown(13245737),Adam Thielen(13245747),Albert Wilson(13245863),James Conner(13245275),Kareem Hunt(13245479),Zach Ertz(13246443),Todd Gurley(13245269),Texans (13246875),49800.0,177.41
Ryan Fitzpatrick(13245168),Davante Adams(13245731),Antonio Brown(13245737),Emmanuel Sanders(13245789),James Conner(13245275),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Dolphins (13246883),49700.0,177.36
Ryan Fitzpatrick(13245168),Will Fuller(13245795),Antonio Brown(13245737),Julio Jones(13245725),James Conner(13245275),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Texans (13246875),50000.0,177.28
Ryan Fitzpatrick(13245168),Will Fuller(13245795),Antonio Brown(13245737),Emmanuel Sanders(13245789),Christian McCaffrey(13245265),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Bears (13246854),50000.0,177.14
Ryan Fitzpatrick(13245168),Davante Adams(13245731),Adam Thielen(13245747),Emmanuel Sanders(13245789),James Conner(13245275),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Texans (13246875),49500.0,177.06
Ryan Fitzpatrick(13245168),Davante Adams(13245731),Will Fuller(13245795),Antonio Brown(13245737),Melvin Gordon(13245273),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Texans (13246875),49900.0,177.06
Ryan Fitzpatrick(13245168),Davante Adams(13245731),Adam Thielen(13245747),Cooper Kupp(13245767),James Conner(13245275),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Texans (13246875),49900.0,177.05
Ryan Fitzpatrick(13245168),Davante Adams(13245731),Antonio Brown(13245737),Emmanuel Sanders(13245789),James Conner(13245275),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Jaguars (13246877),49900.0,177.05
Ryan Fitzpatrick(13245168),Will Fuller(13245795),Antonio Brown(13245737),Adam Thielen(13245747),Christian McCaffrey(13245265),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Dolphins (13246883),49900.0,176.98
Ryan Fitzpatrick(13245168),Antonio Brown(13245737),Adam Thielen(13245747),Keke Coutee(13245855),James Conner(13245275),Kareem Hunt(13245479),Zach Ertz(13246443),Todd Gurley(13245269),Texans (13246875),49900.0,176.97
Ryan Fitzpatrick(13245168),Davante Adams(13245731),Will Fuller(13245795),Antonio Brown(13245737),James Conner(13245275),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Colts (13246873),49800.0,176.95
Ryan Fitzpatrick(13245168),Davante Adams(13245731),Antonio Brown(13245737),Adam Thielen(13245747),James Conner(13245275),Kareem Hunt(13245479),Will Dissly(13246501),Todd Gurley(13245269),Dolphins (13246883),50000.0,176.93
Ryan Fitzpatrick(13245168),Tyreek Hill(13245733),Antonio Brown(13245737),Emmanuel Sanders(13245789),James Conner(13245275),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Texans (13246875),50000.0,176.93
Ryan Fitzpatrick(13245168),Davante Adams(13245731),Antonio Brown(13245737),Albert Wilson(13245863),Saquon Barkley(13245263),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Dolphins (13246883),50000.0,176.91
Ryan Fitzpatrick(13245168),Davante Adams(13245731),Will Fuller(13245795),Antonio Brown(13245737),James Conner(13245275),Kareem Hunt(13245479),Eric Ebron(13246451),Todd Gurley(13245269),Chiefs (13246868),50000.0,176.89
Ryan Fitzpatrick(13245168),Will Fuller(13245795),Adam Thielen(13245747),Emmanuel Sanders(13245789),James Conner(13245275),Kareem Hunt(13245479),Zach Ertz(13246443),Todd Gurley(13245269),Bears (13246854),49900.0,176.85
