QB,WR1,WR2,WR3,RB1,RB2,TE,FLEX,DST,Budget,FPPG
Dak Prescott(13040864),Adam Thielen(13041159),Tyler Lockett(13040917),Dede Westbrook(13041585),Chris Carson(13041688),Kerryon Johnson(13041675),Zach Ertz(13040739),Dalvin Cook(13041387),Lions (13040571),50000.0,148.072
Dak Prescott(13040864),Tyler Lockett(13040917),Tyler Boyd(13041198),Dede Westbrook(13041585),Leonard Fournette(13041354),Nick Chubb(13041370),Zach Ertz(13040739),Dalvin Cook(13041387),Lions (13040571),50000.0,148.025
Russell Wilson(13040661),Tyler Lockett(13040917),Tyler Boyd(13041198),Dede Westbrook(13041585),Leonard Fournette(13041354),Chris Carson(13041688),Zach Ertz(13040739),Dalvin Cook(13041387),Lions (13040571),49700.0,147.819
Carson Wentz(13040977),Adam Thielen(13041159),Tyler Lockett(13040917),Dede Westbrook(13041585),Chris Carson(13041688),Kerryon Johnson(13041675),Zach Ertz(13040739),Dalvin Cook(13041387),Lions (13040571),49800.0,147.792
Russell Wilson(13040661),Tyler Lockett(13040917),Tyler Boyd(13041198),Dede Westbrook(13041585),Leonard Fournette(13041354),Kerryon Johnson(13041675),Zach Ertz(13040739),Dalvin Cook(13041387),Lions (13040571),49800.0,147.782
Patrick Mahomes(13041545),Tyler Lockett(13040917),Tyler Boyd(13041198),Dede Westbrook(13041585),Chris Carson(13041688),Austin Ekeler(13041314),Zach Ertz(13040739),Dalvin Cook(13041387),Lions (13040571),50000.0,147.757
Carson Wentz(13040977),Tyler Lockett(13040917),Tyler Boyd(13041198),Dede Westbrook(13041585),Leonard Fournette(13041354),Nick Chubb(13041370),Zach Ertz(13040739),Dalvin Cook(13041387),Lions (13040571),49800.0,147.745
Lamar Jackson(13041638),Tyler Lockett(13040917),Tyler Boyd(13041198),Dede Westbrook(13041585),Christian McCaffrey(13041406),Duke Johnson(13041028),Zach Ertz(13040739),Dalvin Cook(13041387),Lions (13040571),49900.0,147.655
Russell Wilson(13040661),Tyler Lockett(13040917),Tyler Boyd(13041198),Dede Westbrook(13041585),Nick Chubb(13041370),Chris Carson(13041688),Zach Ertz(13040739),Dalvin Cook(13041387),Lions (13040571),50000.0,147.618
Dak Prescott(13040864),Adam Thielen(13041159),Tyler Lockett(13040917),Tyler Boyd(13041198),Leonard Fournette(13041354),Chris Carson(13041688),Evan Engram(13041263),Dalvin Cook(13041387),Lions (13040571),50000.0,147.604
